date,symbol,action,quantity,price,value,commission,realized_pnl
2024-01-08,AAPL,BUY,50,165.20,8260.00,1.00,0.00
2024-01-15,NVDA,BUY,20,620.75,12415.00,1.00,0.00
2024-01-22,SPY,BUY,40,480.20,19208.00,1.00,0.00
2024-02-01,MSFT,BUY,30,380.10,11403.00,1.00,0.00
2024-02-10,TSLA,SELL,10,295.40,2954.00,1.00,500.00
2024-02-14,GOOGL,BUY,30,142.30,4269.00,1.00,0.00
2024-02-20,AAPL,BUY,100,165.20,16520.00,1.00,0.00
2024-03-01,QQQ,BUY,75,410.85,30813.75,1.00,0.00
2024-03-05,GLD,BUY,50,195.40,9770.00,1.00,0.00
2024-03-12,JPM,BUY,100,185.60,18560.00,1.00,0.00
2024-03-18,NVDA,BUY,25,620.75,15518.75,1.00,0.00
2024-03-25,TLT,BUY,200,98.30,19660.00,1.00,0.00
2024-04-02,AMZN,BUY,60,178.90,10734.00,1.00,0.00
2024-04-10,BRK B,BUY,40,360.45,14418.00,1.00,0.00
2024-04-15,SPY,BUY,80,480.20,38416.00,1.00,0.00
2024-04-22,MSFT,SELL,10,412.50,4125.00,1.00,950.00
2024-05-01,NVDA,SELL,5,875.40,4377.00,1.00,3200.00
2024-05-08,AAPL,SELL,10,192.30,1923.00,1.00,1200.00
2024-05-15,GLD,BUY,0,213.60,0.00,0.00,600.00
2024-05-20,TSLA,BUY,35,265.80,9303.00,1.00,0.00
